Time(s)	X	Y	Z
243,95	-1,548	1,400	-1,248
244,46	-1,577	1,415	-1,274
244,96	-1,576	1,389	-1,286
245,47	-1,525	1,393	-1,226
245,99	-1,477	1,388	-1,174
246,50	-1,486	1,395	-1,199
247,01	-1,543	1,388	-1,235
247,52	-1,701	1,313	-1,256
248,02	-1,775	1,358	-1,217
248,52	-1,765	1,340	-1,031
249,04	-1,821	1,210	-0,915
249,54	-1,795	1,281	-0,930
250,05	-1,637	1,418	-1,063
250,56	-1,595	1,393	-1,238
251,07	-1,559	1,397	-1,285
251,58	-1,543	1,391	-1,253
252,08	-1,539	1,389	-1,247
252,58	-1,548	1,388	-1,254
253,08	-1,559	1,389	-1,254
253,59	-1,575	1,389	-1,260
254,09	-1,552	1,427	-1,264
254,60	-1,506	1,447	-1,223
255,11	-1,515	1,431	-1,167
255,62	-1,583	1,369	-1,130
256,13	-1,760	1,216	-0,964
256,63	-1,758	1,239	-0,961
257,13	-1,577	1,384	-1,122
257,63	-1,501	1,413	-1,288
258,15	-1,518	1,410	-1,428
258,65	-1,600	1,384	-1,447
259,15	-1,821	1,309	-1,505
259,66	-1,850	1,307	-1,498
260,16	-1,877	1,285	-1,521
260,66	-1,871	1,287	-1,522
261,17	-1,811	1,342	-1,474
261,67	-1,705	1,376	-1,419
262,17	-1,660	1,379	-1,363
262,67	-1,637	1,380	-1,340
263,19	-1,640	1,376	-1,344
263,69	-1,657	1,373	-1,343
264,19	-1,667	1,371	-1,348
264,70	-1,642	1,376	-1,346
265,20	-1,640	1,378	-1,358
265,72	-1,637	1,379	-1,357
266,22	-1,637	1,379	-1,355
266,73	-1,639	1,379	-1,344
267,24	-1,635	1,380	-1,337
267,76	-1,637	1,377	-1,335
268,26	-1,626	1,385	-1,311
268,77	-1,570	1,382	-1,259
269,29	-1,473	1,418	-1,209
269,79	-1,409	1,409	-1,165
270,30	-1,396	1,396	-1,155
270,80	-1,416	1,394	-1,162
271,31	-1,475	1,396	-1,207
271,81	-1,530	1,400	-1,258
272,31	-1,557	1,404	-1,285
272,83	-1,568	1,404	-1,284
273,33	-1,574	1,398	-1,285
273,83	-1,566	1,391	-1,298
274,33	-1,563	1,395	-1,295
274,84	-1,551	1,400	-1,292
275,34	-1,541	1,398	-1,291
275,84	-1,553	1,398	-1,291
276,35	-1,556	1,400	-1,296
276,87	-1,564	1,398	-1,293
277,38	-1,572	1,396	-1,288
277,88	-1,575	1,393	-1,278
278,40	-1,578	1,394	-1,284
278,90	-1,572	1,398	-1,287
279,40	-1,562	1,404	-1,287
279,91	-1,562	1,414	-1,294
280,41	-1,563	1,399	-1,299
280,92	-1,562	1,399	-1,296
281,44	-1,560	1,398	-1,293
281,94	-1,555	1,401	-1,283
282,45	-1,588	1,402	-1,315
282,97	-1,622	1,392	-1,338
283,47	-1,625	1,391	-1,357
283,98	-1,630	1,388	-1,344
284,49	-1,637	1,386	-1,354
285,01	-1,663	1,381	-1,379
285,51	-1,683	1,374	-1,389
286,02	-1,690	1,362	-1,382
286,53	-1,732	1,284	-1,412
287,05	-1,699	1,320	-1,358
287,55	-1,780	1,294	-1,319
288,05	-2,004	1,148	-1,265
288,56	-1,995	1,211	-1,256
289,08	-1,804	1,353	-1,243
289,58	-1,571	1,412	-1,195
290,09	-1,483	1,427	-1,190
290,59	-1,472	1,405	-1,188
291,09	-1,473	1,403	-1,191
291,61	-1,476	1,404	-1,200
292,11	-1,478	1,401	-1,203
292,62	-1,478	1,400	-1,203
293,13	-1,459	1,417	-1,190
293,63	-1,463	1,424	-1,208
294,15	-1,474	1,424	-1,197
294,65	-1,480	1,422	-1,190
295,17	-1,483	1,420	-1,181
295,68	-1,486	1,397	-1,184
296,18	-1,541	1,423	-1,271
296,70	-1,602	1,402	-1,359
297,21	-1,646	1,375	-1,407
297,72	-1,576	1,429	-1,352
298,25	-1,555	1,431	-1,311
298,76	-1,561	1,433	-1,303
299,28	-1,589	1,426	-1,306
299,79	-1,562	1,429	-1,300
300,29	-1,547	1,429	-1,296
300,81	-1,538	1,431	-1,292
301,32	-1,538	1,429	-1,290
301,83	-1,542	1,429	-1,288
302,33	-1,545	1,429	-1,285
302,83	-1,543	1,432	-1,277
303,35	-1,535	1,437	-1,274
303,85	-1,507	1,438	-1,279
304,36	-1,508	1,435	-1,279
304,88	-1,533	1,439	-1,279
305,39	-1,541	1,437	-1,272
305,90	-1,571	1,412	-1,299
306,42	-1,573	1,426	-1,305
306,92	-1,555	1,425	-1,315
307,43	-1,523	1,427	-1,325
307,94	-1,517	1,433	-1,318
308,45	-1,505	1,434	-1,326
308,95	-1,503	1,439	-1,330
309,45	-1,499	1,443	-1,335
309,97	-1,505	1,435	-1,337
310,47	-1,517	1,427	-1,334
310,98	-1,535	1,415	-1,324
311,48	-1,544	1,396	-1,318
311,98	-1,604	1,372	-1,340
312,49	-1,661	1,351	-1,387
313,00	-1,672	1,354	-1,406
313,51	-1,678	1,351	-1,404
314,01	-1,694	1,330	-1,385
314,52	-1,694	1,321	-1,382
315,04	-1,681	1,325	-1,372
315,55	-1,672	1,329	-1,374
316,05	-1,682	1,344	-1,402
316,56	-1,732	1,318	-1,448
317,08	-1,760	1,275	-1,442
317,59	-1,752	1,275	-1,431
318,09	-1,741	1,306	-1,411
318,60	-1,765	1,212	-1,398
319,10	-1,795	0,847	-1,345
319,61	-1,769	1,104	-1,312
320,12	-1,631	1,353	-1,288
320,62	-1,572	1,387	-1,302
321,12	-1,587	1,393	-1,378
321,63	-1,586	1,393	-1,347
322,15	-1,581	1,390	-1,316
322,65	-1,586	1,388	-1,314
323,15	-1,585	1,386	-1,319
323,65	-1,589	1,385	-1,323
324,16	-1,585	1,389	-1,326
324,66	-1,584	1,388	-1,323
325,17	-1,588	1,377	-1,339
325,69	-1,600	1,377	-1,358
326,19	-1,605	1,375	-1,357
326,69	-1,585	1,377	-1,317
327,19	-1,560	1,377	-1,252
327,69	-1,647	1,376	-1,245
328,19	-1,760	1,358	-1,262
328,70	-1,798	1,339	-1,259
329,20	-1,810	1,331	-1,257
329,70	-1,811	1,328	-1,265
330,22	-1,825	1,322	-1,276
330,73	-1,815	1,327	-1,278
331,23	-1,789	1,336	-1,273
331,74	-1,686	1,384	-1,248
332,24	-1,515	1,433	-1,199
332,74	-1,445	1,459	-1,249
333,26	-1,497	1,456	-1,310
333,77	-1,316	1,460	-1,311
334,29	-1,281	1,466	-1,376
334,80	-1,293	1,456	-1,360
335,31	-1,270	1,428	-1,335
335,81	-1,244	1,415	-1,313
336,33	-1,267	1,421	-1,260
336,83	-1,443	1,442	-1,242
337,34	-1,475	1,446	-1,330
337,85	-1,433	1,455	-1,327
338,37	-1,371	1,471	-1,368
338,87	-1,403	1,456	-1,354
339,37	-1,401	1,455	-1,275
339,88	-1,434	1,455	-1,341
340,38	-1,443	1,451	-1,347
340,89	-1,429	1,451	-1,326
341,39	-1,413	1,450	-1,304
341,90	-1,403	1,450	-1,293
342,40	-1,400	1,451	-1,288
342,92	-1,401	1,456	-1,305
343,43	-1,430	1,447	-1,302
343,93	-1,462	1,343	-1,255
344,44	-1,466	1,414	-1,274
344,96	-1,441	1,445	-1,292
345,46	-1,437	1,453	-1,293
345,96	-1,436	1,454	-1,311
346,47	-1,452	1,449	-1,337
346,98	-1,443	1,464	-1,351
347,48	-1,412	1,472	-1,361
347,98	-1,437	1,439	-1,385
348,49	-1,451	1,452	-1,374
349,01	-1,423	1,463	-1,347
349,52	-1,417	1,463	-1,327
350,02	-1,418	1,463	-1,327
350,52	-1,412	1,446	-1,322
351,04	-1,405	1,437	-1,321
351,55	-1,411	1,437	-1,322
352,05	-1,422	1,433	-1,305
352,56	-1,411	1,430	-1,299
353,06	-1,402	1,427	-1,298
353,58	-1,413	1,433	-1,294
354,09	-1,415	1,432	-1,306
354,61	-1,418	1,431	-1,311
355,11	-1,410	1,435	-1,311
355,62	-1,415	1,434	-1,306
356,12	-1,421	1,435	-1,298
356,62	-1,427	1,435	-1,294
357,13	-1,415	1,435	-1,289
357,65	-1,416	1,436	-1,289
358,15	-1,412	1,436	-1,286
358,65	-1,417	1,436	-1,286
359,15	-1,416	1,436	-1,281
359,67	-1,424	1,436	-1,280
360,17	-1,430	1,435	-1,275
360,68	-1,431	1,436	-1,273
361,19	-1,433	1,436	-1,273
361,70	-1,426	1,436	-1,270
362,21	-1,424	1,438	-1,270
362,73	-1,431	1,436	-1,259
363,24	-1,432	1,437	-1,269
363,74	-1,426	1,438	-1,272
364,25	-1,427	1,434	-1,275
364,76	-1,439	1,397	-1,283
365,27	-1,435	1,395	-1,292
365,78	-1,434	1,413	-1,291
366,29	-1,424	1,430	-1,292
366,79	-1,423	1,419	-1,299
367,29	-1,435	1,414	-1,306
367,79	-1,460	1,413	-1,306
368,30	-1,523	1,388	-1,411
368,81	-1,540	1,379	-1,436
