Time(s)	X	Y	Z
218,29	-0,772	1,848	-1,274
218,79	-0,781	1,847	-1,282
219,31	-0,781	1,843	-1,279
219,82	-0,775	1,840	-1,270
220,32	-0,772	1,834	-1,257
220,84	-0,763	1,831	-1,251
221,34	-0,750	1,822	-1,230
221,85	-0,739	1,822	-1,224
222,35	-0,745	1,819	-1,228
222,86	-0,754	1,817	-1,231
223,36	-0,795	1,798	-1,256
223,86	-0,817	1,794	-1,278
224,36	-0,813	1,792	-1,275
224,88	-0,791	1,812	-1,245
225,39	-0,752	1,830	-1,230
225,89	-0,743	1,830	-1,225
226,40	-0,786	1,837	-1,261
226,90	-0,843	1,849	-1,319
227,41	-0,896	1,845	-1,349
227,92	-0,865	1,851	-1,285
228,43	-0,821	1,853	-1,254
228,95	-0,806	1,845	-1,255
229,46	-0,806	1,841	-1,256
229,97	-0,822	1,834	-1,261
230,47	-0,826	1,831	-1,259
230,97	-0,821	1,839	-1,260
231,49	-0,777	1,853	-1,295
231,99	-0,769	1,849	-1,312
232,50	-0,776	1,840	-1,304
233,00	-0,779	1,840	-1,308
233,50	-0,778	1,841	-1,311
234,01	-0,775	1,856	-1,311
234,52	-0,755	1,877	-1,323
235,03	-0,756	1,876	-1,330
235,53	-0,762	1,866	-1,331
236,03	-0,771	1,861	-1,330
236,53	-0,772	1,859	-1,327
237,04	-0,771	1,861	-1,320
237,56	-0,770	1,861	-1,317
238,06	-0,773	1,861	-1,315
238,57	-0,772	1,862	-1,314
239,08	-0,765	1,864	-1,320
239,58	-0,763	1,863	-1,317
240,08	-0,765	1,860	-1,311
240,60	-0,769	1,858	-1,305
241,11	-0,789	1,852	-1,288
241,61	-0,797	1,850	-1,294
242,13	-0,797	1,851	-1,290
242,64	-0,799	1,852	-1,284
243,14	-0,799	1,850	-1,285
243,64	-0,794	1,850	-1,290
244,15	-0,794	1,855	-1,295
244,65	-0,744	1,858	-1,265
245,17	-0,711	1,856	-1,256
245,67	-0,690	1,844	-1,250
246,21	-0,705	1,826	-1,270
246,71	-0,737	1,832	-1,290
247,22	-0,751	1,838	-1,302
247,72	-0,750	1,841	-1,307
248,23	-0,747	1,846	-1,307
248,74	-0,746	1,846	-1,304
249,26	-0,751	1,853	-1,297
249,76	-0,755	1,852	-1,282
250,27	-0,812	1,824	-1,299
250,79	-0,836	1,811	-1,289
251,29	-0,805	1,827	-1,265
251,80	-0,789	1,841	-1,255
252,31	-0,788	1,846	-1,252
252,81	-0,788	1,850	-1,262
253,32	-0,788	1,852	-1,270
253,83	-0,781	1,855	-1,271
254,34	-0,777	1,855	-1,274
254,84	-0,771	1,851	-1,272
255,36	-0,768	1,854	-1,281
255,86	-0,765	1,855	-1,286
256,36	-0,768	1,853	-1,288
256,88	-0,780	1,848	-1,285
257,39	-0,783	1,847	-1,274
257,89	-0,812	1,835	-1,290
258,40	-0,822	1,831	-1,287
258,92	-0,810	1,839	-1,268
259,42	-0,808	1,840	-1,262
259,92	-0,807	1,839	-1,261
260,43	-0,812	1,835	-1,265
260,95	-0,810	1,835	-1,266
261,46	-0,805	1,837	-1,263
261,96	-0,803	1,837	-1,266
262,47	-0,801	1,838	-1,271
262,99	-0,799	1,838	-1,271
263,50	-0,798	1,837	-1,267
264,00	-0,834	1,804	-1,289
264,52	-0,868	1,792	-1,319
265,02	-0,878	1,789	-1,328
265,53	-0,881	1,787	-1,326
266,04	-0,882	1,787	-1,322
266,56	-0,882	1,789	-1,321
267,06	-0,881	1,792	-1,319
267,57	-0,879	1,792	-1,317
268,08	-0,879	1,791	-1,313
268,58	-0,880	1,789	-1,310
269,10	-0,883	1,790	-1,306
269,61	-0,883	1,792	-1,303
270,11	-0,880	1,793	-1,304
270,63	-0,875	1,793	-1,305
271,13	-0,875	1,793	-1,304
271,63	-0,872	1,789	-1,311
272,14	-0,866	1,791	-1,300
272,64	-0,866	1,790	-1,309
273,14	-0,870	1,789	-1,319
273,65	-0,870	1,789	-1,321
274,17	-0,871	1,788	-1,315
274,67	-0,869	1,789	-1,312
275,17	-0,870	1,789	-1,311
275,68	-0,872	1,788	-1,310
276,18	-0,866	1,792	-1,290
276,68	-0,864	1,791	-1,285
277,19	-0,853	1,790	-1,273
277,70	-0,842	1,788	-1,253
278,20	-0,824	1,819	-1,230
278,70	-0,825	1,820	-1,248
279,21	-0,821	1,830	-1,258
279,72	-0,845	1,824	-1,297
280,22	-0,857	1,813	-1,333
280,72	-0,848	1,819	-1,300
281,24	-0,822	1,832	-1,273
281,74	-0,812	1,836	-1,280
282,25	-0,811	1,837	-1,286
282,75	-0,810	1,837	-1,286
283,25	-0,807	1,837	-1,288
283,76	-0,801	1,839	-1,293
284,28	-0,799	1,842	-1,293
284,78	-0,803	1,838	-1,291
285,28	-0,806	1,838	-1,296
285,79	-0,805	1,836	-1,296
286,31	-0,806	1,834	-1,294
286,82	-0,810	1,833	-1,288
287,32	-0,818	1,832	-1,279
287,82	-0,825	1,832	-1,276
288,33	-0,823	1,827	-1,272
288,84	-0,819	1,826	-1,277
289,35	-0,813	1,833	-1,280
289,86	-0,811	1,832	-1,277
290,36	-0,807	1,832	-1,278
290,88	-0,807	1,834	-1,279
291,39	-0,806	1,834	-1,281
291,89	-0,800	1,835	-1,280
292,40	-0,795	1,836	-1,282
292,90	-0,822	1,822	-1,318
293,42	-0,833	1,818	-1,331
293,92	-0,835	1,818	-1,329
294,42	-0,822	1,826	-1,290
294,93	-0,804	1,833	-1,269
295,43	-0,796	1,834	-1,269
295,93	-0,794	1,832	-1,273
296,45	-0,778	1,806	-1,262
296,95	-0,768	1,830	-1,271
297,46	-0,753	1,844	-1,278
297,97	-0,755	1,844	-1,275
298,49	-0,764	1,842	-1,274
298,99	-0,777	1,841	-1,276
299,50	-0,786	1,841	-1,270
300,00	-0,783	1,843	-1,266
300,50	-0,787	1,844	-1,263
301,01	-0,782	1,845	-1,265
301,52	-0,779	1,844	-1,266
302,03	-0,782	1,843	-1,265
302,54	-0,782	1,842	-1,265
303,06	-0,777	1,842	-1,271
303,56	-0,775	1,842	-1,275
304,06	-0,776	1,838	-1,267
304,58	-0,793	1,827	-1,271
305,08	-0,772	1,831	-1,264
305,58	-0,744	1,843	-1,265
306,11	-0,732	1,847	-1,273
306,62	-0,744	1,849	-1,277
307,12	-0,749	1,850	-1,272
307,63	-0,764	1,851	-1,270
308,13	-0,765	1,851	-1,268
308,63	-0,775	1,853	-1,272
309,13	-0,774	1,853	-1,272
309,65	-0,756	1,855	-1,266
